,questions,answers,metadata
13,Will my attendance be counted if I go to another section and take attendance there?,"No, each section has it's own attendance QR code and is handled individually.","{'folders': ['other'], 'title': 'attendance', 'timestamp': '2024-10-11T15:12:03Z', 'user': '', 'tags': ['other', 'student'], 'likes': 2, 'views': 121}"
14,"<p>Hello I was looking at the test cased for this problem specifically test case 25. The expected output is this<img alt=""image.png"" src=""/redirect/s3?bucket=uploads&amp;prefix=paste%2Fm006uddpzke48t%2F76e72f257390dac1fa369bafe0f1e685a30768d76cb0775f25fc61dbc1c3da10%2Fimage.png""/></p><p>But in the specifications for the problem it states:</p><div><div>A sentence would have the format *Author wrote Book Name* or *Author wrote books* and will have the following conditions:</div><br/><div>1. An author's name can be one word, or two words. The word or words in a name must start with a capital letter.</div><div>2. The verb is ""wrote"".</div><div>3. If the book has a name, it can be one, two or three words/numbers. Each word starts with a capital letter or number. If the book does not have a name, ""wrote"" will be followed by ""books"".</div><div>4. If the above conditions are both not met, there is no match. You will then return a tuple of strings (""noauthor"", ""noname"")</div></div><div>What confuses me is where in 3. it states that the word will start with either a capital letter or number, therefore this test case is inaccurate as it starts with a number followed by a capitalized letter. I am just struggling to adapt my code to allow for this as I believed it would not be a worry due to the homework's specifications. Thanks for the help. </div>","For book names, other letters of the word can be uppercase, lowercase, or digits.","{'folders': ['hw6'], 'title': 'HW 6, Question 2 Test Case Parameters', 'timestamp': '2024-10-11T03:19:13Z', 'user': 'm006uddpzke48t', 'tags': ['hw6', 'student'], 'likes': 1, 'views': 119}"
15,"<p>For the string ""Erin Morgenstern wrote The Starless Sea Book and The Night Circus"" given as a test case in HW 6 problem 2, the tuple (""Erin Morgenstern"", ""The Starless Sea"") is given as the expected output.</p><p></p><p>Why is ""Book"" left out of ""The Starless Sea Book"" here? Since it is capitalized, the program has no way of telling whether the word ""Book"" is a valid part of a title. I understand that lowercase ""book"" would not count as part of the title, but I can't figure out why capitalized ""Book"" is not included. Thanks!</p>","The book name can be 1, 2 or 3 words only as mentioned in the readme.","{'folders': ['hw6'], 'title': 'HW6 problem 2 test case', 'timestamp': '2024-10-11T02:10:06Z', 'user': '', 'tags': ['hw6', 'student'], 'likes': 0, 'views': 115}"
16,"<p>I didn't see anything in the assignment instructions, but do our solutions need to account for a possibility of extra spaces?</p><p></p><p>For example, should the test case ""Spider      Boy!"" output ""Spider       Man!"" or ""Spider Man"" or ""nomatch""?</p><p></p><p>In short, if a match is desired, can we assume the inputs given are in a normal sentence structure? (with proper spacing and punctuation when included). </p><p></p><p>Additionally, should we account for special characters in names and titles? Ex: E.B. White wrote Charlotte's Web. </p><p>Would the output be (""White"", ""Charlotte"")?</p>","<p>You do not need to account for extra spaces within the matched string, you can assume proper spacing.</p><p></p><p>The author names only contain letters, no special characters or numbers. The book names only contain letters or numbers and no other characters.</p>","{'folders': ['hw6'], 'title': 'HW 6 Questions 2 and 3 Sentence Structure', 'timestamp': '2024-10-10T20:06:37Z', 'user': '', 'tags': ['hw6', 'student'], 'likes': 0, 'views': 126}"
17,"Hi, has the grade for Exam 1 been released? I don't see it in my brightspace or gradescope. ",We are still in the process of grading. We will announce when scores are released.,"{'folders': ['exam'], 'title': 'Exam 1 Grade--Section 1', 'timestamp': '2024-10-10T17:47:20Z', 'user': '', 'tags': ['exam', 'student'], 'likes': 4, 'views': 150}"
18,"<pre>def problem1(searchstring):    """"""    Match emails.    :param searchstring: string    :return: True or False    """"""</pre><p>For problem one, the docstring says that we are returning True or False, but the test cases and ReadMe says ""valid"" or ""invalid"". I am guessing the ReadMe and testcases are correct?</p>","Yes. You need to return the string ""valid"" or ""invalid"".","{'folders': ['hw6'], 'title': 'Incorrect Docstring?', 'timestamp': '2024-10-10T14:21:20Z', 'user': 'l8au8vwxiuz481', 'tags': ['hw6', 'student'], 'likes': 1, 'views': 123}"
19,"<p>Section 4 spent most of its class time today “reviewing” linear algebra when it is not a prerequisite to take the class. The CompE degree planner template doesn’t even take linear algebra until senior year (not sure about EE).</p><p></p><p>I get confused by a lot that this class crams in while saying that it’s a review. The same thing happened with probability; my high school didn’t require a probability/stats class and neither does ECE before this class, but we “reviewed” it. I feel like I would understand these topics more if we weren’t expected to know anything about it beforehand. If we are expected to know a lot beforehand, why aren’t these topics part of our prereqs? </p><p></p><p></p>","<p>A full course in linear algebra covers deeper topics like proofs of spectral and singular value decompositions. We do not require that level of knowledge in this course, which is likely why linear algebra is not listed as a prerequisite. The Python notebook we covered goes over the elements of linear algebra required to understand regression, which at its heart, solves a linear system of equations. </p><p></p><p>If you are concerned about your background in linear algebra, probability, and calculus, and you feel the reviews provided in the course are not sufficient, please chat with me during office hours. I am happy to provide specific guidance if you would like.</p>","{'folders': ['other'], 'title': 'Why is linear algebra not a prerequisite for this class?', 'timestamp': '2024-10-09T19:23:48Z', 'user': '', 'tags': ['other', 'student'], 'likes': 7, 'views': 131}"
20,"For the second problem, the readme says that the author's name can be one or two words and the book title can be up to three words long, but what is the expected behavior for cases that exceed this limit? Should it return (""noauthor"", ""noname"") or something else?","You only have to find the substring that matches the given conditions. If the string is ""Gabriel Garcia Marquez wrote One Hundred Years Of Solitude"" the regex match would return (""Garcia Marquez"", ""One Hundred Years"").","{'folders': ['hw6'], 'title': 'HW6 Problem 2: Author has more than three names or Title is more than three words', 'timestamp': '2024-10-08T19:26:34Z', 'user': 'lr3pevipwgt5d2', 'tags': ['hw6', 'student'], 'likes': 0, 'views': 155}"
21,"For test cases that are not included in the homework assignment, do the regular expressions need to match book titles with conjunctions (e.g. War and Peace)?","You do not have to account for any specific conjunctions. So ""War and Peace"" won't match but ""War And Peace"" will match because each word starts with a capital letter.","{'folders': ['hw6'], 'title': 'Problem 2: Question on matching titles (conjunction words)', 'timestamp': '2024-10-08T17:17:42Z', 'user': '', 'tags': ['hw6', 'student'], 'likes': 0, 'views': 129}"
22,"<p>For problem 2, hw6, homework readme says :</p><p>4. If the above conditions are both not met, there is no match. You will then return a tuple of strings (""noauthor"", ""noname"")</p><p></p><p>in the provided testcase it is tested for:</p><div><div>testcase26 = ""Khaled Hosseini wrote sad books""</div><div>print(""Student answer: "",problem2(testcase26),""\tAnswer correct?"", problem2(testcase26) == (""nohero"", ""noname""))</div></div><div></div><div>where ""noauthor"" is replaced with ""nohero"". is it an error or am I understanding the default case wrongly</div>","It is an error. The correct output should be (""noauthor"", ""noname""). You can correct the testcase.","{'folders': ['hw6'], 'title': 'problem 2  testcase 26', 'timestamp': '2024-10-04T20:00:07Z', 'user': '', 'tags': ['hw6', 'student'], 'likes': 5, 'views': 180}"
23,Is lecture cancelled on Thursday/Friday to compensate for the exam or?,Each instructor decides which lecture will be canceled. Please look for announcements on Brightspace. ,"{'folders': ['logistics'], 'title': 'Lecture Question', 'timestamp': '2024-10-03T03:35:27Z', 'user': '', 'tags': ['logistics', 'student'], 'likes': 0, 'views': 111}"
24,"<p>@162</p><p>When n &gt;= 30 and you decide to use a Z-test, there are 2 possibilities:</p><p>1) Population variance \sigma^2 is unknown: In this case, you first calculate the sample variance s^2 (using the formula in the slides), and then calculate the standard error (SE) as SE = s / sqrt(n). Here, s is the square root of s^2, and is given by the last formula in your question.</p><p></p><p>What is the difference of z test with t test in this case?</p>",<p>t-test has a degrees of freedom factor that will affect the distribution / p-value corresponding to t-score.</p><p></p><p>Edit: t-test also shouldn't be in the exam since the exam will only test up to page 15 of the hypothesis testing slides.</p>,"{'folders': ['exam'], 'title': 'Z test problem', 'timestamp': '2024-10-02T20:58:35Z', 'user': 'm089wja9rx44cs', 'tags': ['exam', 'student'], 'likes': 1, 'views': 116}"
25,"<p>Can someone explain how the PDF graph for this problem was determined and how 1/(b-a) was determined?</p><p><img alt=""Screenshot_2024-10-02_at_15.43.35.pngNaN"" src=""/redirect/s3?bucket=uploads&amp;prefix=paste%2Flr6tdmzx5le1ic%2F329e68008c1428cd84fd0636db918ab27b4e24f688cdfabf61bb0c66f39e7561%2FScreenshot_2024-10-02_at_15.43.35.png""/></p>","<p>A uniform distribution means that all possible outcomes in the range have equal probability of occurring. For this reason the pdf will have a constant height at all points, which will make a rectangle for any given bounds.</p><p></p><p>Given that our probability density function is defined as having an area of 1 and the question gives us an interval for the function from a to b that means we have a rectangle from a to b with width b-a. From this we can find what our height must be to have an area of 1:</p><p></p><p>1) height*width = 1:</p><p>2) height = 1/(b-a) </p>","{'folders': ['exam'], 'title': 'PDF Question', 'timestamp': '2024-10-02T19:44:18Z', 'user': '', 'tags': ['exam', 'student'], 'likes': 1, 'views': 111}"
26,"<p>Why is the variance divided by n on the example for in the slides when the other slides have the Gaussian distribution with the variance untouched?</p><p><img alt="""" height=""814"" src=""/redirect/s3?bucket=uploads&amp;prefix=paste%2Flr4lxc3z3mh60w%2Fef4a4591d336975ee99da23ad31a3705279822f9022fcce277cbc54030700f2d%2FScreenshot_2024-10-02_140332.png"" width=""1403""/></p><p><img alt="""" height=""503"" src=""/redirect/s3?bucket=uploads&amp;prefix=paste%2Flr4lxc3z3mh60w%2F9416be74a2f2cbf1feda28521ee802036b80c6825d7b2f6147ac371b451e1d2c%2FScreenshot_2024-10-02_140515.png"" width=""669""/></p>",you divide by number of samples for variance or standard deviation of a sample; the others without dividing represent the population variance or standard deviation. We approximate mean of the population and sample to be the same under normal distribution.,"{'folders': ['exam'], 'title': 'Sampling Slides Example', 'timestamp': '2024-10-02T18:07:26Z', 'user': '', 'tags': ['exam', 'student'], 'likes': 0, 'views': 109}"
27,"<p>How are we supposed to find the p-value if we cant program it.</p><p>The slides say this:</p><p><img alt="""" height=""50"" src=""/redirect/s3?bucket=uploads&amp;prefix=paste%2Flr4lxc3z3mh60w%2F22b9bdf53e774ed04dac6925128e2fe37526aebdfd863b40c86f6a5e0f1ae9fa%2FScreenshot_2024-10-02_015342.png"" width=""306""/></p><p><img alt="""" height=""56"" src=""/redirect/s3?bucket=uploads&amp;prefix=paste%2Flr4lxc3z3mh60w%2F190932ed82fb5ec69d5b222e05d29088df56cd26948ebcccccdb21dd356aed25%2FScreenshot_2024-10-02_015233.png"" width=""477""/></p><p>But what does the formula mean and what are those variables supposed to represent.</p>",See @161. Either the 3 sigma rule or you will be given enough information to solve,"{'folders': ['exam'], 'title': 'How to calculate p value without a program', 'timestamp': '2024-10-02T05:54:46Z', 'user': '', 'tags': ['exam', 'student'], 'likes': 0, 'views': 119}"
28,"I have done all the past exams paper but I still got stuck whenever facing the new questions. So, beside the lecture sides and past papers, do we have some other documents for practicing more for the exam? ","If you Google it, you will find some older exams. However, I’d focus on reviewing concepts that you are unsure about through either the lecture materials or resources online. This will best help you when faced with new problems. ","{'folders': ['exam'], 'title': 'Practice documents for exam1', 'timestamp': '2024-10-02T02:10:50Z', 'user': '', 'tags': ['exam', 'student'], 'likes': 0, 'views': 125}"
29,"<p>Can someone explain why P(x &lt;= 2) = 1 and not 1/4?</p><p><img alt=""Screenshot_2024-10-01_at_20.40.57.pngNaN"" src=""/redirect/s3?bucket=uploads&amp;prefix=paste%2Flr6tdmzx5le1ic%2F79f6f1311fe3c0dcea5c14c146f7451c66af7dcc0d66d5063cde1dd0e7179abf%2FScreenshot_2024-10-01_at_20.40.57.png""/></p>","It's saying the probability of heads being flipped 2 times or less, which includes every case","{'folders': ['exam'], 'title': 'CDF Question', 'timestamp': '2024-10-02T00:41:19Z', 'user': '', 'tags': ['exam', 'student'], 'likes': 0, 'views': 119}"
30,Could anyone please explain question 5a. I’m very lost. Thank you!!,"<p>The problem tells you that Y = (1/n) \sum_i X_i is a Gaussian random variable with mean \mu and variance \sigma^2 / n, and asks you to write down its probability density function (PDF). There is a standard formula for the PDF of a Gaussian random variable with general mean and variance that can be found in the probability lecture slides. So, you just need to plug in \mu for the mean and \sigma^2 / n for the variance in that formula and write it down. Doing this yields the answer you see in the solutions. (There are of course deep reasons why the formula for a Gaussian PDF must be of the form in the slides if you accept certain axioms, but we do not delve into those reasons in this course.)</p><p></p>","{'folders': ['exam'], 'title': 'Practice exam spring 2024 Q5a', 'timestamp': '2024-10-02T00:39:54Z', 'user': '', 'tags': ['exam', 'student'], 'likes': 0, 'views': 118}"
31,What exactly about qq plots should we know when doing the exam?,"Given a dataset and a probability distribution, you need to know how to generate a Q-Q plot and determine if the dataset is a random sample from the distribution. More broadly, you need to be aware of the general intuition of Q-Q plots, what they look like, and what they tell us -- this would have been covered in the slides and explained during lectures. All of this is within the scope of Exam 1. Of course, in an exam, we would ensure any actual calculations are manageable without a calculator.","{'folders': ['exam'], 'title': 'How are qq plots getting tested on the Exam?', 'timestamp': '2024-10-01T22:26:50Z', 'user': '', 'tags': ['exam', 'student'], 'likes': 0, 'views': 118}"
32,"<p></p><p></p><p>For this question, is there a reason why the last bin width is 11 instead of 10? Just confused as I thought each bin had to be the same width which in this case it isn't.</p><p></p><p></p><p><img alt=""Screenshot_2024-10-01_at_3.54.38_PM.pngNaN"" height=""1223"" src=""/redirect/s3?bucket=uploads&amp;prefix=paste%2Fllfb8yj61n93kq%2Fce4aaa7c57e50338f54aabf05bd88c7246dc7cda194a17e070e42061c376a686%2FScreenshot_2024-10-01_at_3.54.38_PM.png"" width=""1470""/></p>","<p>I think this is a typo. The last range should be 41-50.</p><p></p><p>Edit: Better and more precise choices of bins here are either</p><p>[1, 11), [11, 21), [21, 31), [31, 41), [41, 51)</p><p>or</p><p>(0, 10], (10, 20], (20, 30], (30, 40], (40, 50].</p><p>In both cases, the bin width is 10, and the tables are filled in exactly as in the solution. The problem likely meant to use one of these choices of bins, but decided to use integers to represent bin ends for simplicity - this led to the issue you point out.  - AM</p>","{'folders': ['exam'], 'title': 'Spr 2024 Exam Probability Density Q', 'timestamp': '2024-10-01T19:56:17Z', 'user': '', 'tags': ['exam', 'student'], 'likes': 0, 'views': 112}"
33,"<p>When performing a z-test and our sample size is greater than 30, but we don't know what the population variance is, what do we use for sigma^2? From my interpretation of the slides, we should use the sample variance, but I am not sure if I am reading that right.</p><p></p><p><img alt=""image.png"" height=""332"" src=""/redirect/s3?bucket=uploads&amp;prefix=paste%2Flzwspsodr042r5%2F19117033b0f523754d479dfa3d87a15da31a76c5ffb081e1fe04736fa1ff13f9%2Fimage.png"" width=""380""/></p><p>Is it correct to then say that SE is just the standard deviation of the sample? (Looking at bullet point 3)</p><p></p><p>From a procedural standpoint, when looking for SE (under the assumption we are under z-test conditions) we should first use the population variance / sqrt(n) to find SE. If the population variance is not available, we can estimate SE by finding the standard deviation of the sample directly using the following formula:</p><p><img alt=""image.png"" height=""84"" src=""/redirect/s3?bucket=uploads&amp;prefix=paste%2Flzwspsodr042r5%2F282ed39d4a711615768afc794aaa80c07583b30fccd66693d3387660d97a4ede%2Fimage.png"" width=""230""/>.</p><p>Would s = SE in this case?</p>","<p>When n &gt;= 30 and you decide to use a Z-test, there are 2 possibilities:</p><p>1) Population variance \sigma^2 is unknown: In this case, you first calculate the sample variance s^2 (using the formula in the slides), and then calculate the standard error (SE) as SE = s / sqrt(n). Here, s is the square root of s^2, and is given by the last formula in your question.</p><p>2) Population variance \sigma^2 is known: In this case, you directly calculate the standard error (SE) as SE = \sigma / sqrt(n). Here, \sigma is the square root of the population variance \sigma^2.</p>","{'folders': ['exam'], 'title': 'Z-Test Clarification', 'timestamp': '2024-10-01T18:58:48Z', 'user': '', 'tags': ['exam', 'student'], 'likes': 0, 'views': 112}"
34,"<img alt=""image.pngNaN"" src=""/redirect/s3?bucket=uploads&amp;prefix=paste%2Fllfb8d2w3lo2dc%2F77e210509253e10793d7810e200e9d3a82a8fde36cd9faf48cf99603708af57a%2Fimage.png""/>In this answer question, how can I calculate the 3-sigma rule for getting the result for p? I don't really understand "" Use the 3-sigma (68-95-99.7) rule"" in the hint.","<p>The 3-sigma rule refers to the empirical rule in statistics, which tells us how data is distributed in a normal distribution:</p><p>- 68% of the values lie within ±1 standard deviation (σ) of the mean.</p><p>- 95% of the values lie within ±2σ of the mean.</p><p>- 99.7% of the values lie within ±3σ of the mean.</p><p></p><p>Now, applying this rule with the z-score from part b:</p><p>When the question asks for a one-sided interval to the right of the mean, it's asking for the probability of finding values greater than a certain number of standard deviations. For example, if the z-score is +2σ, you would use the fact that 95% of the values lie within ±2σ. This means 5% of the values lie outside this range, but since we are only interested in the right side (above +2σ), we take half of that remaining 5%, which is:   (1−0.95)/2=0.025</p><p></p>","{'folders': ['exam'], 'title': 'Exam question', 'timestamp': '2024-10-01T08:50:00Z', 'user': '', 'tags': ['exam', 'student'], 'likes': 0, 'views': 117}"
35,"<p>What is this? I've never seen this before and I cannot find anything on the internet explaining it. It is not in the slides.</p><p><img alt=""image.pngNaN"" src=""/redirect/s3?bucket=uploads&amp;prefix=paste%2Fktlz1u25brv5lz%2Ff2b2c00318035d0f1ca710e31182d5265fb1a24e8b69985a441da661904c658a%2Fimage.png""/></p>","It is on the hypothesis slides. It's the empirical rule that states that the percantage of values within 1, 2, and 3 standard deviations of the mean are 68, 95, and 99.7. These values consider both tails, so for a one tail test you would divide you probability by 2.","{'folders': ['exam'], 'title': 'Exam 1 2023 Q(last)', 'timestamp': '2024-10-01T01:27:11Z', 'user': 'ktlz1u25brv5lz', 'tags': ['exam', 'student'], 'likes': 0, 'views': 116}"
36,"<p>I am a bit confused about how we find the optimal bin width specifically for the exam. In the slides, we had to derive some equations from the Integrated Square Error but the answer isn't really clear as to how you find the value of w itself. Or are we just given the number of bins and use (Max - Min) / n like in HW2. </p><p></p><p>If it is the former is there any simplified formula we can use?</p>","In the context of this course, the best way to find the bin width is to use the integrated squared error approach at the end of the histogram slides. If it is unclear to you why the optimization procedure explained there generates the ""best"" bin width, you should discuss this during office hours. A TA or instructor can go through this with you and clarify any doubts.","{'folders': ['exam'], 'title': 'What is the best way to find the width of a bin in a histogram?', 'timestamp': '2024-10-01T01:23:35Z', 'user': '', 'tags': ['exam', 'student'], 'likes': 2, 'views': 109}"
37,"Is it true that the z test is included, while the confidence interval, t test, and one-sided z test are excluded?","As explained in @155 and <a href=""/107"">@107</a>, we will test until ""confidence intervals and hypothesis testing"" slides <strong>up to and including </strong>slide 15 (titled ""comparing two means""). This indeed means that hypothesis testing (specifically, two-sided one-sample z-tests and two-sided two-sample z-tests) is included in Exam 1, but confidence intervals are not included. t-tests and one-sided tests are also not included, because these topics come after slide 15.","{'folders': ['exam'], 'title': 'exam1 range', 'timestamp': '2024-09-29T21:23:20Z', 'user': '', 'tags': ['exam', 'student'], 'likes': 3, 'views': 139}"
38,<p>Will there be hypothesis testing on the exam? My professor said everything up to hypothesis testing would be included unless I heard him incorrectly but on the Fall 2023 exam 1 there is a hypothesis testing question asked.</p><p></p><p>Thanks</p>,"As explained in @107, we will test until ""confidence intervals and hypothesis testing"" slides <strong>up to and including </strong>slide 15 (titled ""comparing two means""). This indeed means that hypothesis testing (specifically, two-sided one-sample z-tests and two-sided two-sample z-tests) is included in Exam 1, but confidence intervals are not included. t-tests and one-sided tests are also not included, because these topics come after slide 15. ","{'folders': ['exam'], 'title': 'Hypothesis Testing', 'timestamp': '2024-09-29T20:30:32Z', 'user': '', 'tags': ['exam', 'student'], 'likes': 1, 'views': 112}"
39,"Do we need to print the all answers in python? Like print(""std dev is: "", std_dev). I wonder because there is given prints coming for each answers (""problem 2 answers:"").",Printing the answers is recommended. ,"{'folders': ['hw5'], 'title': 'Printing values', 'timestamp': '2024-09-29T20:23:51Z', 'user': '', 'tags': ['hw5', 'student'], 'likes': 0, 'views': 100}"
40,"<p dir=""ltr"">Will we be reviewing for exam during tuesday's class or just continuing to learn new content? </p>","<img alt=""image.png"" src=""/redirect/s3?bucket=uploads&amp;prefix=paste%2Fl8au6lxqxgg1yd%2F465283caff24ed43a00667ddbeb36b20b136c07cfaa18907ec14c9b8d4b49f7a%2Fimage.png""/>","{'folders': ['exam'], 'title': 'Exam Review', 'timestamp': '2024-09-29T18:34:43Z', 'user': '', 'tags': ['exam', 'student'], 'likes': 2, 'views': 121}"
41,What will the letter grade cutoffs be for the class? Are they set or will they be determined at the end of the semester with a curve?,<p>The cutoffs are not set and will be determined at the end of the semester.</p><p></p><p>Edit: Please see @157. -AM</p>,"{'folders': ['logistics'], 'title': 'Grade Distribution', 'timestamp': '2024-09-29T14:16:25Z', 'user': '', 'tags': ['logistics', 'student'], 'likes': 0, 'views': 121}"
42,"Normally, for exams, I will study by reading a textbook, going through practice problems, and redoing old exams. However, I was curious as to what the best way to study for this exam is, since it seems much more open to the kinds of notes we can have, with limited practice doubles. What kinds of things have students done in the past that have helped them succeed on the exams?","<p>Personally, what helped me study was going over the practice exams multiple times in different hours. Not just that, but go over the concepts of the practice exam through the lecture slides. The exam can ask different variations of the same problem.</p><p></p><p>Even though you can bring your notes, be very prepared. You're in a battle against time. The students that have succeeded the most were the ones that rarely looked through their notes during the exams because of preparedness.</p><p></p><p>Would recommend making some sort of summary sheet from the notes with the most important information as looking through 100ish slides can be quite time consuming.</p>","{'folders': ['exam'], 'title': 'Studying for Exam 1', 'timestamp': '2024-09-29T14:15:22Z', 'user': '', 'tags': ['exam', 'student'], 'likes': 0, 'views': 130}"
43,"I am not sure how to calculate standard_error without knowing population means. In the problem 3, all given is just average data set so I have no idea how to draw standard_error here","You need to distinguish the sample standard deviation and the population standard deviation, which is related to which test you will use (t test or z test). ","{'folders': ['hw5'], 'title': 'Standard_error', 'timestamp': '2024-09-29T07:01:09Z', 'user': '', 'tags': ['hw5', 'student'], 'likes': 0, 'views': 96}"
44,"I've been working on homework 5 and was unsure of the correct way to generate sample data from the given data list. So far, I have been using 'random.choice' for the homework, but despite using large sample sizes, my resulting values don't seem to stabilize leaving me weary if I'm generating my sample data correctly.",For homework 5 you shouldn't need to generate sample data. The data given is a sample of the population.,"{'folders': ['hw5'], 'title': 'Sample Data Generation', 'timestamp': '2024-09-29T00:30:23Z', 'user': '', 'tags': ['hw5', 'student'], 'likes': 0, 'views': 83}"
45,"Because of the exam this week, is there going to be a homework this week? Or will HW6 be for the week after break?",HW6 will be released on 4th October and it will be due on 11th October.,"{'folders': ['hw6'], 'title': 'Will HW 6 be posted for this week?', 'timestamp': '2024-09-28T16:21:56Z', 'user': '', 'tags': ['hw6', 'student'], 'likes': 1, 'views': 128}"
